#CET-SVC-FC
#FlashCopy
#Oct 29, 2013 7:43:23 PM

H1,T1
SVC:VOL:RMSVC06:cet1939,SVC:VOL:RMSVC06:cet2024
SVC:VOL:RMSVC06:cet1940,SVC:VOL:RMSVC06:cet2025
SVC:VOL:RMSVC06:cet1941,SVC:VOL:RMSVC06:cet2026
SVC:VOL:RMSVC06:cet1942,SVC:VOL:RMSVC06:cet2027
SVC:VOL:RMSVC06:cet1943,SVC:VOL:RMSVC06:cet2028
SVC:VOL:RMSVC06:cet1944,SVC:VOL:RMSVC06:cet2029
SVC:VOL:RMSVC06:cet1945,SVC:VOL:RMSVC06:cet2030
SVC:VOL:RMSVC06:cet2031,SVC:VOL:RMSVC06:cet2034
SVC:VOL:RMSVC06:cet2032,SVC:VOL:RMSVC06:cet2035
SVC:VOL:RMSVC06:cet2033,SVC:VOL:RMSVC06:cet2036
SVC:VOL:RMSVC06:cet2037,SVC:VOL:RMSVC06:cet2041
SVC:VOL:RMSVC06:cet2038,SVC:VOL:RMSVC06:cet2042
SVC:VOL:RMSVC06:cet2039,SVC:VOL:RMSVC06:cet2043
SVC:VOL:RMSVC06:cet2040,SVC:VOL:RMSVC06:cet2044
SVC:VOL:RMSVC06:cet2045,SVC:VOL:RMSVC06:cet2047
SVC:VOL:RMSVC06:cet2046,SVC:VOL:RMSVC06:cet2048
