#CET-8k-gmfofb2
#Global Mirror Failover/Failback
#Nov 7, 2013 11:21:17 PM

H1,H2,J2
DS8000:2107.BWP21:VOL:E031,DS8000:2107.BWN81:VOL:DC31,DS8000:2107.BWN81:VOL:DD31
DS8000:2107.BWP21:VOL:E032,DS8000:2107.BWN81:VOL:DC32,DS8000:2107.BWN81:VOL:DD32
DS8000:2107.BWP21:VOL:E033,DS8000:2107.BWN81:VOL:DC33,DS8000:2107.BWN81:VOL:DD33
DS8000:2107.BWP21:VOL:E034,DS8000:2107.BWN81:VOL:DC34,DS8000:2107.BWN81:VOL:DD34
DS8000:2107.BWP21:VOL:E035,DS8000:2107.BWN81:VOL:DC35,DS8000:2107.BWN81:VOL:DD35
DS8000:2107.BWP21:VOL:E036,DS8000:2107.BWN81:VOL:DC36,DS8000:2107.BWN81:VOL:DD36
DS8000:2107.BWP21:VOL:E037,DS8000:2107.BWN81:VOL:DC37,DS8000:2107.BWN81:VOL:DD37
DS8000:2107.BWP21:VOL:E038,DS8000:2107.BWN81:VOL:DC38,DS8000:2107.BWN81:VOL:DD38
DS8000:2107.BWP21:VOL:E039,DS8000:2107.BWN81:VOL:DC39,DS8000:2107.BWN81:VOL:DD39
DS8000:2107.BWP21:VOL:E03A,DS8000:2107.BWN81:VOL:DC3A,DS8000:2107.BWN81:VOL:DD3A
DS8000:2107.BWP21:VOL:E03B,DS8000:2107.BWN81:VOL:DC3B,DS8000:2107.BWN81:VOL:DD3B
DS8000:2107.BWP21:VOL:E03C,DS8000:2107.BWN81:VOL:DC3C,DS8000:2107.BWN81:VOL:DD3C
DS8000:2107.BWP21:VOL:E03D,DS8000:2107.BWN81:VOL:DC3D,DS8000:2107.BWN81:VOL:DD3D
DS8000:2107.BWP21:VOL:E03E,DS8000:2107.BWN81:VOL:DC3E,DS8000:2107.BWN81:VOL:DD3E
DS8000:2107.BWP21:VOL:E03F,DS8000:2107.BWN81:VOL:DC3F,DS8000:2107.BWN81:VOL:DD3F
DS8000:2107.BWP21:VOL:E040,DS8000:2107.BWN81:VOL:DC40,DS8000:2107.BWN81:VOL:DD40
DS8000:2107.BWP21:VOL:E041,DS8000:2107.BWN81:VOL:DC41,DS8000:2107.BWN81:VOL:DD41
DS8000:2107.BWP21:VOL:E042,DS8000:2107.BWN81:VOL:DC42,DS8000:2107.BWN81:VOL:DD42
DS8000:2107.BWP21:VOL:E043,DS8000:2107.BWN81:VOL:DC43,DS8000:2107.BWN81:VOL:DD43
DS8000:2107.BWP21:VOL:E044,DS8000:2107.BWN81:VOL:DC44,DS8000:2107.BWN81:VOL:DD44
DS8000:2107.BWP21:VOL:E045,DS8000:2107.BWN81:VOL:DC45,DS8000:2107.BWN81:VOL:DD45
DS8000:2107.BWP21:VOL:E046,DS8000:2107.BWN81:VOL:DC46,DS8000:2107.BWN81:VOL:DD46
DS8000:2107.BWP21:VOL:E047,DS8000:2107.BWN81:VOL:DC47,DS8000:2107.BWN81:VOL:DD47
DS8000:2107.BWP21:VOL:E048,DS8000:2107.BWN81:VOL:DC48,DS8000:2107.BWN81:VOL:DD48
DS8000:2107.BWP21:VOL:E049,DS8000:2107.BWN81:VOL:DC49,DS8000:2107.BWN81:VOL:DD49
DS8000:2107.BWP21:VOL:E04A,DS8000:2107.BWN81:VOL:DC4A,DS8000:2107.BWN81:VOL:DD4A
DS8000:2107.BWP21:VOL:E04B,DS8000:2107.BWN81:VOL:DC4B,DS8000:2107.BWN81:VOL:DD4B
