#CET-8k-gmfofb2
#Global Mirror Failover/Failback
#Nov 7, 2013 11:21:17 PM

H1,H2,J2
DS8000:2107.BWP21:VOL:E0D5,DS8000:2107.BWN81:VOL:DCD5,DS8000:2107.BWN81:VOL:DDD5
DS8000:2107.BWP21:VOL:E0D6,DS8000:2107.BWN81:VOL:DCD6,DS8000:2107.BWN81:VOL:DDD6
DS8000:2107.BWP21:VOL:E0D7,DS8000:2107.BWN81:VOL:DCD7,DS8000:2107.BWN81:VOL:DDD7
DS8000:2107.BWP21:VOL:E0D8,DS8000:2107.BWN81:VOL:DCD8,DS8000:2107.BWN81:VOL:DDD8
DS8000:2107.BWP21:VOL:E0D9,DS8000:2107.BWN81:VOL:DCD9,DS8000:2107.BWN81:VOL:DDD9
DS8000:2107.BWP21:VOL:E0DA,DS8000:2107.BWN81:VOL:DCDA,DS8000:2107.BWN81:VOL:DDDA
DS8000:2107.BWP21:VOL:E0DB,DS8000:2107.BWN81:VOL:DCDB,DS8000:2107.BWN81:VOL:DDDB
DS8000:2107.BWP21:VOL:E0DC,DS8000:2107.BWN81:VOL:DCDC,DS8000:2107.BWN81:VOL:DDDC
DS8000:2107.BWP21:VOL:E0DD,DS8000:2107.BWN81:VOL:DCDD,DS8000:2107.BWN81:VOL:DDDD
DS8000:2107.BWP21:VOL:E0DE,DS8000:2107.BWN81:VOL:DCDE,DS8000:2107.BWN81:VOL:DDDE
DS8000:2107.BWP21:VOL:E0DF,DS8000:2107.BWN81:VOL:DCDF,DS8000:2107.BWN81:VOL:DDDF
DS8000:2107.BWP21:VOL:E0E0,DS8000:2107.BWN81:VOL:DCE0,DS8000:2107.BWN81:VOL:DDE0
DS8000:2107.BWP21:VOL:E0E1,DS8000:2107.BWN81:VOL:DCE1,DS8000:2107.BWN81:VOL:DDE1
DS8000:2107.BWP21:VOL:E0E2,DS8000:2107.BWN81:VOL:DCE2,DS8000:2107.BWN81:VOL:DDE2
DS8000:2107.BWP21:VOL:E0E3,DS8000:2107.BWN81:VOL:DCE3,DS8000:2107.BWN81:VOL:DDE3
DS8000:2107.BWP21:VOL:E0E4,DS8000:2107.BWN81:VOL:DCE4,DS8000:2107.BWN81:VOL:DDE4
DS8000:2107.BWP21:VOL:E0E5,DS8000:2107.BWN81:VOL:DCE5,DS8000:2107.BWN81:VOL:DDE5
DS8000:2107.BWP21:VOL:E0E6,DS8000:2107.BWN81:VOL:DCE6,DS8000:2107.BWN81:VOL:DDE6
DS8000:2107.BWP21:VOL:E0E7,DS8000:2107.BWN81:VOL:DCE7,DS8000:2107.BWN81:VOL:DDE7
DS8000:2107.BWP21:VOL:E0E8,DS8000:2107.BWN81:VOL:DCE8,DS8000:2107.BWN81:VOL:DDE8
DS8000:2107.BWP21:VOL:E0E9,DS8000:2107.BWN81:VOL:DCE9,DS8000:2107.BWN81:VOL:DDE9
DS8000:2107.BWP21:VOL:E0EA,DS8000:2107.BWN81:VOL:DCEA,DS8000:2107.BWN81:VOL:DDEA
DS8000:2107.BWP21:VOL:E0EB,DS8000:2107.BWN81:VOL:DCEB,DS8000:2107.BWN81:VOL:DDEB
DS8000:2107.BWP21:VOL:E0EC,DS8000:2107.BWN81:VOL:DCEC,DS8000:2107.BWN81:VOL:DDEC
DS8000:2107.BWP21:VOL:E0ED,DS8000:2107.BWN81:VOL:DCED,DS8000:2107.BWN81:VOL:DDED
DS8000:2107.BWP21:VOL:E0EE,DS8000:2107.BWN81:VOL:DCEE,DS8000:2107.BWN81:VOL:DDEE
DS8000:2107.BWP21:VOL:E0EF,DS8000:2107.BWN81:VOL:DCEF,DS8000:2107.BWN81:VOL:DDEF
DS8000:2107.BWP21:VOL:E0F0,DS8000:2107.BWN81:VOL:DCF0,DS8000:2107.BWN81:VOL:DDF0
DS8000:2107.BWP21:VOL:E0F1,DS8000:2107.BWN81:VOL:DCF1,DS8000:2107.BWN81:VOL:DDF1
DS8000:2107.BWP21:VOL:E0F2,DS8000:2107.BWN81:VOL:DCF2,DS8000:2107.BWN81:VOL:DDF2
DS8000:2107.BWP21:VOL:E0F3,DS8000:2107.BWN81:VOL:DCF3,DS8000:2107.BWN81:VOL:DDF3
DS8000:2107.BWP21:VOL:E0F4,DS8000:2107.BWN81:VOL:DCF4,DS8000:2107.BWN81:VOL:DDF4
DS8000:2107.BWP21:VOL:E0F5,DS8000:2107.BWN81:VOL:DCF5,DS8000:2107.BWN81:VOL:DDF5
DS8000:2107.BWP21:VOL:E0F6,DS8000:2107.BWN81:VOL:DCF6,DS8000:2107.BWN81:VOL:DDF6
DS8000:2107.BWP21:VOL:E0F7,DS8000:2107.BWN81:VOL:DCF7,DS8000:2107.BWN81:VOL:DDF7
DS8000:2107.BWP21:VOL:E0F8,DS8000:2107.BWN81:VOL:DCF8,DS8000:2107.BWN81:VOL:DDF8
DS8000:2107.BWP21:VOL:E0F9,DS8000:2107.BWN81:VOL:DCF9,DS8000:2107.BWN81:VOL:DDF9
DS8000:2107.BWP21:VOL:E0FA,DS8000:2107.BWN81:VOL:DCFA,DS8000:2107.BWN81:VOL:DDFA
DS8000:2107.BWP21:VOL:E0FB,DS8000:2107.BWN81:VOL:DCFB,DS8000:2107.BWN81:VOL:DDFB
DS8000:2107.BWP21:VOL:E0FC,DS8000:2107.BWN81:VOL:DCFC,DS8000:2107.BWN81:VOL:DDFC
DS8000:2107.BWP21:VOL:E0FD,DS8000:2107.BWN81:VOL:DCFD,DS8000:2107.BWN81:VOL:DDFD
DS8000:2107.BWP21:VOL:E0FE,DS8000:2107.BWN81:VOL:DCFE,DS8000:2107.BWN81:VOL:DDFE
DS8000:2107.BWP21:VOL:E0FF,DS8000:2107.BWN81:VOL:DCFF,DS8000:2107.BWN81:VOL:DDFF
DS8000:2107.BWP21:VOL:ED00,DS8000:2107.BWN81:VOL:DE00,DS8000:2107.BWN81:VOL:F800
DS8000:2107.BWP21:VOL:ED01,DS8000:2107.BWN81:VOL:DE01,DS8000:2107.BWN81:VOL:F801
DS8000:2107.BWP21:VOL:ED02,DS8000:2107.BWN81:VOL:DE02,DS8000:2107.BWN81:VOL:F802
DS8000:2107.BWP21:VOL:ED03,DS8000:2107.BWN81:VOL:DE03,DS8000:2107.BWN81:VOL:F803
DS8000:2107.BWP21:VOL:ED04,DS8000:2107.BWN81:VOL:DE04,DS8000:2107.BWN81:VOL:F804
DS8000:2107.BWP21:VOL:ED05,DS8000:2107.BWN81:VOL:DE05,DS8000:2107.BWN81:VOL:F805
DS8000:2107.BWP21:VOL:ED06,DS8000:2107.BWN81:VOL:DE06,DS8000:2107.BWN81:VOL:F806
DS8000:2107.BWP21:VOL:ED07,DS8000:2107.BWN81:VOL:DE07,DS8000:2107.BWN81:VOL:F807
DS8000:2107.BWP21:VOL:ED08,DS8000:2107.BWN81:VOL:DE08,DS8000:2107.BWN81:VOL:F808
DS8000:2107.BWP21:VOL:ED09,DS8000:2107.BWN81:VOL:DE09,DS8000:2107.BWN81:VOL:F809
DS8000:2107.BWP21:VOL:ED0A,DS8000:2107.BWN81:VOL:DE0A,DS8000:2107.BWN81:VOL:F80A
DS8000:2107.BWP21:VOL:ED0B,DS8000:2107.BWN81:VOL:DE0B,DS8000:2107.BWN81:VOL:F80B
DS8000:2107.BWP21:VOL:ED0C,DS8000:2107.BWN81:VOL:DE0C,DS8000:2107.BWN81:VOL:F80C
DS8000:2107.BWP21:VOL:ED0D,DS8000:2107.BWN81:VOL:DE0D,DS8000:2107.BWN81:VOL:F80D
DS8000:2107.BWP21:VOL:ED0E,DS8000:2107.BWN81:VOL:DE0E,DS8000:2107.BWN81:VOL:F80E
DS8000:2107.BWP21:VOL:ED0F,DS8000:2107.BWN81:VOL:DE0F,DS8000:2107.BWN81:VOL:F80F
DS8000:2107.BWP21:VOL:ED10,DS8000:2107.BWN81:VOL:DE10,DS8000:2107.BWN81:VOL:F810
DS8000:2107.BWP21:VOL:ED11,DS8000:2107.BWN81:VOL:DE11,DS8000:2107.BWN81:VOL:F811
DS8000:2107.BWP21:VOL:ED12,DS8000:2107.BWN81:VOL:DE12,DS8000:2107.BWN81:VOL:F812
DS8000:2107.BWP21:VOL:ED13,DS8000:2107.BWN81:VOL:DE13,DS8000:2107.BWN81:VOL:F813
DS8000:2107.BWP21:VOL:ED14,DS8000:2107.BWN81:VOL:DE14,DS8000:2107.BWN81:VOL:F814
DS8000:2107.BWP21:VOL:ED15,DS8000:2107.BWN81:VOL:DE15,DS8000:2107.BWN81:VOL:F815
DS8000:2107.BWP21:VOL:ED16,DS8000:2107.BWN81:VOL:DE16,DS8000:2107.BWN81:VOL:F816
DS8000:2107.BWP21:VOL:ED17,DS8000:2107.BWN81:VOL:DE17,DS8000:2107.BWN81:VOL:F817
DS8000:2107.BWP21:VOL:ED18,DS8000:2107.BWN81:VOL:DE18,DS8000:2107.BWN81:VOL:F818
DS8000:2107.BWP21:VOL:ED19,DS8000:2107.BWN81:VOL:DE19,DS8000:2107.BWN81:VOL:F819
DS8000:2107.BWP21:VOL:ED1A,DS8000:2107.BWN81:VOL:DE1A,DS8000:2107.BWN81:VOL:F81A
DS8000:2107.BWP21:VOL:ED1B,DS8000:2107.BWN81:VOL:DE1B,DS8000:2107.BWN81:VOL:F81B
DS8000:2107.BWP21:VOL:ED1C,DS8000:2107.BWN81:VOL:DE1C,DS8000:2107.BWN81:VOL:F81C
DS8000:2107.BWP21:VOL:ED1D,DS8000:2107.BWN81:VOL:DE1D,DS8000:2107.BWN81:VOL:F81D
DS8000:2107.BWP21:VOL:ED1E,DS8000:2107.BWN81:VOL:DE1E,DS8000:2107.BWN81:VOL:F81E
DS8000:2107.BWP21:VOL:ED1F,DS8000:2107.BWN81:VOL:DE1F,DS8000:2107.BWN81:VOL:F81F
DS8000:2107.BWP21:VOL:ED20,DS8000:2107.BWN81:VOL:DE20,DS8000:2107.BWN81:VOL:F820
DS8000:2107.BWP21:VOL:ED21,DS8000:2107.BWN81:VOL:DE21,DS8000:2107.BWN81:VOL:F821
DS8000:2107.BWP21:VOL:ED22,DS8000:2107.BWN81:VOL:DE22,DS8000:2107.BWN81:VOL:F822
DS8000:2107.BWP21:VOL:ED23,DS8000:2107.BWN81:VOL:DE23,DS8000:2107.BWN81:VOL:F823
DS8000:2107.BWP21:VOL:ED24,DS8000:2107.BWN81:VOL:DE24,DS8000:2107.BWN81:VOL:F824
DS8000:2107.BWP21:VOL:ED25,DS8000:2107.BWN81:VOL:DE25,DS8000:2107.BWN81:VOL:F825
DS8000:2107.BWP21:VOL:ED26,DS8000:2107.BWN81:VOL:DE26,DS8000:2107.BWN81:VOL:F826
DS8000:2107.BWP21:VOL:ED27,DS8000:2107.BWN81:VOL:DE27,DS8000:2107.BWN81:VOL:F827
DS8000:2107.BWP21:VOL:ED28,DS8000:2107.BWN81:VOL:DE28,DS8000:2107.BWN81:VOL:F828
DS8000:2107.BWP21:VOL:ED29,DS8000:2107.BWN81:VOL:DE29,DS8000:2107.BWN81:VOL:F829
DS8000:2107.BWP21:VOL:ED2A,DS8000:2107.BWN81:VOL:DE2A,DS8000:2107.BWN81:VOL:F82A
DS8000:2107.BWP21:VOL:ED2B,DS8000:2107.BWN81:VOL:DE2B,DS8000:2107.BWN81:VOL:F82B
DS8000:2107.BWP21:VOL:ED2C,DS8000:2107.BWN81:VOL:DE2C,DS8000:2107.BWN81:VOL:F82C
DS8000:2107.BWP21:VOL:ED2D,DS8000:2107.BWN81:VOL:DE2D,DS8000:2107.BWN81:VOL:F82D
DS8000:2107.BWP21:VOL:ED2E,DS8000:2107.BWN81:VOL:DE2E,DS8000:2107.BWN81:VOL:F82E
DS8000:2107.BWP21:VOL:ED2F,DS8000:2107.BWN81:VOL:DE2F,DS8000:2107.BWN81:VOL:F82F
DS8000:2107.BWP21:VOL:ED30,DS8000:2107.BWN81:VOL:DE30,DS8000:2107.BWN81:VOL:F830
DS8000:2107.BWP21:VOL:ED31,DS8000:2107.BWN81:VOL:DE31,DS8000:2107.BWN81:VOL:F831
DS8000:2107.BWP21:VOL:ED32,DS8000:2107.BWN81:VOL:DE32,DS8000:2107.BWN81:VOL:F832
DS8000:2107.BWP21:VOL:ED33,DS8000:2107.BWN81:VOL:DE33,DS8000:2107.BWN81:VOL:F833
DS8000:2107.BWP21:VOL:ED34,DS8000:2107.BWN81:VOL:DE34,DS8000:2107.BWN81:VOL:F834
DS8000:2107.BWP21:VOL:ED35,DS8000:2107.BWN81:VOL:DE35,DS8000:2107.BWN81:VOL:F835
DS8000:2107.BWP21:VOL:ED36,DS8000:2107.BWN81:VOL:DE36,DS8000:2107.BWN81:VOL:F836
DS8000:2107.BWP21:VOL:ED37,DS8000:2107.BWN81:VOL:DE37,DS8000:2107.BWN81:VOL:F837
DS8000:2107.BWP21:VOL:ED38,DS8000:2107.BWN81:VOL:DE38,DS8000:2107.BWN81:VOL:F838
DS8000:2107.BWP21:VOL:ED39,DS8000:2107.BWN81:VOL:DE39,DS8000:2107.BWN81:VOL:F839
DS8000:2107.BWP21:VOL:ED3A,DS8000:2107.BWN81:VOL:DE3A,DS8000:2107.BWN81:VOL:F83A
DS8000:2107.BWP21:VOL:ED3B,DS8000:2107.BWN81:VOL:DE3B,DS8000:2107.BWN81:VOL:F83B
DS8000:2107.BWP21:VOL:ED3C,DS8000:2107.BWN81:VOL:DE3C,DS8000:2107.BWN81:VOL:F83C
DS8000:2107.BWP21:VOL:ED3D,DS8000:2107.BWN81:VOL:DE3D,DS8000:2107.BWN81:VOL:F83D
DS8000:2107.BWP21:VOL:ED3E,DS8000:2107.BWN81:VOL:DE3E,DS8000:2107.BWN81:VOL:F83E
DS8000:2107.BWP21:VOL:ED3F,DS8000:2107.BWN81:VOL:DE3F,DS8000:2107.BWN81:VOL:F83F
DS8000:2107.BWP21:VOL:ED40,DS8000:2107.BWN81:VOL:DE40,DS8000:2107.BWN81:VOL:F840
DS8000:2107.BWP21:VOL:ED41,DS8000:2107.BWN81:VOL:DE41,DS8000:2107.BWN81:VOL:F841
DS8000:2107.BWP21:VOL:ED42,DS8000:2107.BWN81:VOL:DE42,DS8000:2107.BWN81:VOL:F842
DS8000:2107.BWP21:VOL:ED43,DS8000:2107.BWN81:VOL:DE43,DS8000:2107.BWN81:VOL:F843
DS8000:2107.BWP21:VOL:ED44,DS8000:2107.BWN81:VOL:DE44,DS8000:2107.BWN81:VOL:F844
DS8000:2107.BWP21:VOL:ED45,DS8000:2107.BWN81:VOL:DE45,DS8000:2107.BWN81:VOL:F845
DS8000:2107.BWP21:VOL:ED46,DS8000:2107.BWN81:VOL:DE46,DS8000:2107.BWN81:VOL:F846
DS8000:2107.BWP21:VOL:ED47,DS8000:2107.BWN81:VOL:DE47,DS8000:2107.BWN81:VOL:F847
DS8000:2107.BWP21:VOL:ED48,DS8000:2107.BWN81:VOL:DE48,DS8000:2107.BWN81:VOL:F848
DS8000:2107.BWP21:VOL:ED49,DS8000:2107.BWN81:VOL:DE49,DS8000:2107.BWN81:VOL:F849
DS8000:2107.BWP21:VOL:ED4A,DS8000:2107.BWN81:VOL:DE4A,DS8000:2107.BWN81:VOL:F84A
DS8000:2107.BWP21:VOL:ED4B,DS8000:2107.BWN81:VOL:DE4B,DS8000:2107.BWN81:VOL:F84B
DS8000:2107.BWP21:VOL:ED4C,DS8000:2107.BWN81:VOL:DE4C,DS8000:2107.BWN81:VOL:F84C
DS8000:2107.BWP21:VOL:ED4D,DS8000:2107.BWN81:VOL:DE4D,DS8000:2107.BWN81:VOL:F84D
DS8000:2107.BWP21:VOL:ED4E,DS8000:2107.BWN81:VOL:DE4E,DS8000:2107.BWN81:VOL:F84E
DS8000:2107.BWP21:VOL:ED4F,DS8000:2107.BWN81:VOL:DE4F,DS8000:2107.BWN81:VOL:F84F
DS8000:2107.BWP21:VOL:ED50,DS8000:2107.BWN81:VOL:DE50,DS8000:2107.BWN81:VOL:F850
DS8000:2107.BWP21:VOL:ED51,DS8000:2107.BWN81:VOL:DE51,DS8000:2107.BWN81:VOL:F851
DS8000:2107.BWP21:VOL:ED52,DS8000:2107.BWN81:VOL:DE52,DS8000:2107.BWN81:VOL:F852
DS8000:2107.BWP21:VOL:ED53,DS8000:2107.BWN81:VOL:DE53,DS8000:2107.BWN81:VOL:F853
DS8000:2107.BWP21:VOL:ED54,DS8000:2107.BWN81:VOL:DE54,DS8000:2107.BWN81:VOL:F854
DS8000:2107.BWP21:VOL:ED55,DS8000:2107.BWN81:VOL:DE55,DS8000:2107.BWN81:VOL:F855
DS8000:2107.BWP21:VOL:ED56,DS8000:2107.BWN81:VOL:DE56,DS8000:2107.BWN81:VOL:F856
DS8000:2107.BWP21:VOL:ED57,DS8000:2107.BWN81:VOL:DE57,DS8000:2107.BWN81:VOL:F857
DS8000:2107.BWP21:VOL:ED58,DS8000:2107.BWN81:VOL:DE58,DS8000:2107.BWN81:VOL:F858
DS8000:2107.BWP21:VOL:ED59,DS8000:2107.BWN81:VOL:DE59,DS8000:2107.BWN81:VOL:F859
DS8000:2107.BWP21:VOL:ED5A,DS8000:2107.BWN81:VOL:DE5A,DS8000:2107.BWN81:VOL:F85A
DS8000:2107.BWP21:VOL:ED5B,DS8000:2107.BWN81:VOL:DE5B,DS8000:2107.BWN81:VOL:F85B
DS8000:2107.BWP21:VOL:ED5C,DS8000:2107.BWN81:VOL:DE5C,DS8000:2107.BWN81:VOL:F85C
DS8000:2107.BWP21:VOL:ED5D,DS8000:2107.BWN81:VOL:DE5D,DS8000:2107.BWN81:VOL:F85D
DS8000:2107.BWP21:VOL:ED5E,DS8000:2107.BWN81:VOL:DE5E,DS8000:2107.BWN81:VOL:F85E
DS8000:2107.BWP21:VOL:ED5F,DS8000:2107.BWN81:VOL:DE5F,DS8000:2107.BWN81:VOL:F85F
DS8000:2107.BWP21:VOL:ED60,DS8000:2107.BWN81:VOL:DE60,DS8000:2107.BWN81:VOL:F860
DS8000:2107.BWP21:VOL:ED61,DS8000:2107.BWN81:VOL:DE61,DS8000:2107.BWN81:VOL:F861
DS8000:2107.BWP21:VOL:ED62,DS8000:2107.BWN81:VOL:DE62,DS8000:2107.BWN81:VOL:F862
DS8000:2107.BWP21:VOL:ED63,DS8000:2107.BWN81:VOL:DE63,DS8000:2107.BWN81:VOL:F863
DS8000:2107.BWP21:VOL:ED64,DS8000:2107.BWN81:VOL:DE64,DS8000:2107.BWN81:VOL:F864
DS8000:2107.BWP21:VOL:ED65,DS8000:2107.BWN81:VOL:DE65,DS8000:2107.BWN81:VOL:F865
DS8000:2107.BWP21:VOL:ED66,DS8000:2107.BWN81:VOL:DE66,DS8000:2107.BWN81:VOL:F866
DS8000:2107.BWP21:VOL:ED67,DS8000:2107.BWN81:VOL:DE67,DS8000:2107.BWN81:VOL:F867
DS8000:2107.BWP21:VOL:ED68,DS8000:2107.BWN81:VOL:DE68,DS8000:2107.BWN81:VOL:F868
DS8000:2107.BWP21:VOL:ED69,DS8000:2107.BWN81:VOL:DE69,DS8000:2107.BWN81:VOL:F869
DS8000:2107.BWP21:VOL:ED6A,DS8000:2107.BWN81:VOL:DE6A,DS8000:2107.BWN81:VOL:F86A
DS8000:2107.BWP21:VOL:ED6B,DS8000:2107.BWN81:VOL:DE6B,DS8000:2107.BWN81:VOL:F86B
DS8000:2107.BWP21:VOL:ED6C,DS8000:2107.BWN81:VOL:DE6C,DS8000:2107.BWN81:VOL:F86C
DS8000:2107.BWP21:VOL:ED6D,DS8000:2107.BWN81:VOL:DE6D,DS8000:2107.BWN81:VOL:F86D
DS8000:2107.BWP21:VOL:ED6E,DS8000:2107.BWN81:VOL:DE6E,DS8000:2107.BWN81:VOL:F86E
DS8000:2107.BWP21:VOL:ED6F,DS8000:2107.BWN81:VOL:DE6F,DS8000:2107.BWN81:VOL:F86F
DS8000:2107.BWP21:VOL:ED70,DS8000:2107.BWN81:VOL:DE70,DS8000:2107.BWN81:VOL:F870
DS8000:2107.BWP21:VOL:ED71,DS8000:2107.BWN81:VOL:DE71,DS8000:2107.BWN81:VOL:F871
DS8000:2107.BWP21:VOL:ED72,DS8000:2107.BWN81:VOL:DE72,DS8000:2107.BWN81:VOL:F872
DS8000:2107.BWP21:VOL:ED73,DS8000:2107.BWN81:VOL:DE73,DS8000:2107.BWN81:VOL:F873
DS8000:2107.BWP21:VOL:ED74,DS8000:2107.BWN81:VOL:DE74,DS8000:2107.BWN81:VOL:F874
DS8000:2107.BWP21:VOL:ED75,DS8000:2107.BWN81:VOL:DE75,DS8000:2107.BWN81:VOL:F875
DS8000:2107.BWP21:VOL:ED76,DS8000:2107.BWN81:VOL:DE76,DS8000:2107.BWN81:VOL:F876
DS8000:2107.BWP21:VOL:ED77,DS8000:2107.BWN81:VOL:DE77,DS8000:2107.BWN81:VOL:F877
DS8000:2107.BWP21:VOL:ED78,DS8000:2107.BWN81:VOL:DE78,DS8000:2107.BWN81:VOL:F878
DS8000:2107.BWP21:VOL:ED79,DS8000:2107.BWN81:VOL:DE79,DS8000:2107.BWN81:VOL:F879
DS8000:2107.BWP21:VOL:ED7A,DS8000:2107.BWN81:VOL:DE7A,DS8000:2107.BWN81:VOL:F87A
DS8000:2107.BWP21:VOL:ED7B,DS8000:2107.BWN81:VOL:DE7B,DS8000:2107.BWN81:VOL:F87B
DS8000:2107.BWP21:VOL:ED7C,DS8000:2107.BWN81:VOL:DE7C,DS8000:2107.BWN81:VOL:F87C
DS8000:2107.BWP21:VOL:ED7D,DS8000:2107.BWN81:VOL:DE7D,DS8000:2107.BWN81:VOL:F87D
DS8000:2107.BWP21:VOL:ED7E,DS8000:2107.BWN81:VOL:DE7E,DS8000:2107.BWN81:VOL:F87E
DS8000:2107.BWP21:VOL:ED7F,DS8000:2107.BWN81:VOL:DE7F,DS8000:2107.BWN81:VOL:F87F
DS8000:2107.BWP21:VOL:ED80,DS8000:2107.BWN81:VOL:DE80,DS8000:2107.BWN81:VOL:F880
DS8000:2107.BWP21:VOL:ED81,DS8000:2107.BWN81:VOL:DE81,DS8000:2107.BWN81:VOL:F881
DS8000:2107.BWP21:VOL:ED82,DS8000:2107.BWN81:VOL:DE82,DS8000:2107.BWN81:VOL:F882
DS8000:2107.BWP21:VOL:ED83,DS8000:2107.BWN81:VOL:DE83,DS8000:2107.BWN81:VOL:F883
DS8000:2107.BWP21:VOL:ED84,DS8000:2107.BWN81:VOL:DE84,DS8000:2107.BWN81:VOL:F884
DS8000:2107.BWP21:VOL:ED85,DS8000:2107.BWN81:VOL:DE85,DS8000:2107.BWN81:VOL:F885
DS8000:2107.BWP21:VOL:ED86,DS8000:2107.BWN81:VOL:DE86,DS8000:2107.BWN81:VOL:F886
DS8000:2107.BWP21:VOL:ED87,DS8000:2107.BWN81:VOL:DE87,DS8000:2107.BWN81:VOL:F887
DS8000:2107.BWP21:VOL:ED88,DS8000:2107.BWN81:VOL:DE88,DS8000:2107.BWN81:VOL:F888
DS8000:2107.BWP21:VOL:ED89,DS8000:2107.BWN81:VOL:DE89,DS8000:2107.BWN81:VOL:F889
DS8000:2107.BWP21:VOL:ED8A,DS8000:2107.BWN81:VOL:DE8A,DS8000:2107.BWN81:VOL:F88A
DS8000:2107.BWP21:VOL:ED8B,DS8000:2107.BWN81:VOL:DE8B,DS8000:2107.BWN81:VOL:F88B
DS8000:2107.BWP21:VOL:ED8C,DS8000:2107.BWN81:VOL:DE8C,DS8000:2107.BWN81:VOL:F88C
DS8000:2107.BWP21:VOL:ED8D,DS8000:2107.BWN81:VOL:DE8D,DS8000:2107.BWN81:VOL:F88D
DS8000:2107.BWP21:VOL:ED8E,DS8000:2107.BWN81:VOL:DE8E,DS8000:2107.BWN81:VOL:F88E
DS8000:2107.BWP21:VOL:ED8F,DS8000:2107.BWN81:VOL:DE8F,DS8000:2107.BWN81:VOL:F88F
DS8000:2107.BWP21:VOL:ED90,DS8000:2107.BWN81:VOL:DE90,DS8000:2107.BWN81:VOL:F890
DS8000:2107.BWP21:VOL:ED91,DS8000:2107.BWN81:VOL:DE91,DS8000:2107.BWN81:VOL:F891
DS8000:2107.BWP21:VOL:ED92,DS8000:2107.BWN81:VOL:DE92,DS8000:2107.BWN81:VOL:F892
DS8000:2107.BWP21:VOL:ED93,DS8000:2107.BWN81:VOL:DE93,DS8000:2107.BWN81:VOL:F893
DS8000:2107.BWP21:VOL:ED94,DS8000:2107.BWN81:VOL:DE94,DS8000:2107.BWN81:VOL:F894
DS8000:2107.BWP21:VOL:ED95,DS8000:2107.BWN81:VOL:DE95,DS8000:2107.BWN81:VOL:F895
DS8000:2107.BWP21:VOL:ED96,DS8000:2107.BWN81:VOL:DE96,DS8000:2107.BWN81:VOL:F896
DS8000:2107.BWP21:VOL:ED97,DS8000:2107.BWN81:VOL:DE97,DS8000:2107.BWN81:VOL:F897
DS8000:2107.BWP21:VOL:ED98,DS8000:2107.BWN81:VOL:DE98,DS8000:2107.BWN81:VOL:F898
DS8000:2107.BWP21:VOL:ED99,DS8000:2107.BWN81:VOL:DE99,DS8000:2107.BWN81:VOL:F899
DS8000:2107.BWP21:VOL:ED9A,DS8000:2107.BWN81:VOL:DE9A,DS8000:2107.BWN81:VOL:F89A
DS8000:2107.BWP21:VOL:ED9B,DS8000:2107.BWN81:VOL:DE9B,DS8000:2107.BWN81:VOL:F89B
DS8000:2107.BWP21:VOL:ED9C,DS8000:2107.BWN81:VOL:DE9C,DS8000:2107.BWN81:VOL:F89C
DS8000:2107.BWP21:VOL:ED9D,DS8000:2107.BWN81:VOL:DE9D,DS8000:2107.BWN81:VOL:F89D
DS8000:2107.BWP21:VOL:ED9E,DS8000:2107.BWN81:VOL:DE9E,DS8000:2107.BWN81:VOL:F89E
DS8000:2107.BWP21:VOL:ED9F,DS8000:2107.BWN81:VOL:DE9F,DS8000:2107.BWN81:VOL:F89F
DS8000:2107.BWP21:VOL:EDA0,DS8000:2107.BWN81:VOL:DEA0,DS8000:2107.BWN81:VOL:F8A0
DS8000:2107.BWP21:VOL:EDA1,DS8000:2107.BWN81:VOL:DEA1,DS8000:2107.BWN81:VOL:F8A1
DS8000:2107.BWP21:VOL:EDA2,DS8000:2107.BWN81:VOL:DEA2,DS8000:2107.BWN81:VOL:F8A2
DS8000:2107.BWP21:VOL:EDA3,DS8000:2107.BWN81:VOL:DEA3,DS8000:2107.BWN81:VOL:F8A3
DS8000:2107.BWP21:VOL:EDA4,DS8000:2107.BWN81:VOL:DEA4,DS8000:2107.BWN81:VOL:F8A4
DS8000:2107.BWP21:VOL:EDA5,DS8000:2107.BWN81:VOL:DEA5,DS8000:2107.BWN81:VOL:F8A5
DS8000:2107.BWP21:VOL:EDA6,DS8000:2107.BWN81:VOL:DEA6,DS8000:2107.BWN81:VOL:F8A6
DS8000:2107.BWP21:VOL:EDA7,DS8000:2107.BWN81:VOL:DEA7,DS8000:2107.BWN81:VOL:F8A7
DS8000:2107.BWP21:VOL:EDA8,DS8000:2107.BWN81:VOL:DEA8,DS8000:2107.BWN81:VOL:F8A8
DS8000:2107.BWP21:VOL:EDA9,DS8000:2107.BWN81:VOL:DEA9,DS8000:2107.BWN81:VOL:F8A9
DS8000:2107.BWP21:VOL:EDAA,DS8000:2107.BWN81:VOL:DEAA,DS8000:2107.BWN81:VOL:F8AA
DS8000:2107.BWP21:VOL:EDAB,DS8000:2107.BWN81:VOL:DEAB,DS8000:2107.BWN81:VOL:F8AB
DS8000:2107.BWP21:VOL:EDAC,DS8000:2107.BWN81:VOL:DEAC,DS8000:2107.BWN81:VOL:F8AC
DS8000:2107.BWP21:VOL:EDAD,DS8000:2107.BWN81:VOL:DEAD,DS8000:2107.BWN81:VOL:F8AD
DS8000:2107.BWP21:VOL:EDAE,DS8000:2107.BWN81:VOL:DEAE,DS8000:2107.BWN81:VOL:F8AE
